tweet_id,favorite_count,retweet_count,retweet_status,url
668113020489474048,709,265,Original tweet,https://t.co/GCJzm3YsfX
667937095915278337,1356,866,Original tweet,https://t.co/x89NSCEZCq
667924896115245057,318,119,Original tweet,https://t.co/fW6kIPFGD2
667915453470232577,222,59,Original tweet,https://t.co/tIaaBIMlJN
667911425562669056,523,329,Original tweet,https://t.co/SyMoWrp368
667902449697558528,905,396,Original tweet,https://t.co/sJeHdGUt0W
667886921285246976,2011,1180,Original tweet,https://t.co/MT7Q4aDQS1
667885044254572545,868,530,Original tweet,https://t.co/7rkYZQdKEd
667878741721415682,409,127,Original tweet,https://t.co/LvP1TTYSCN
667873844930215936,667,440,Original tweet,https://t.co/ODqrL3zXYE
667866724293877760,3172,1110,Original tweet,https://t.co/SBmWbfAg6X
667861340749471744,253,86,Original tweet,https://t.co/J4GnJ5Swba
667832474953625600,303,68,Original tweet,https://t.co/z1xPTgVLc7
667806454573760512,1111,535,Original tweet,https://t.co/TBmDJXJB75
667801013445750784,346,101,Original tweet,https://t.co/SVMF4Frf1w
667793409583771648,736,358,Original tweet,https://t.co/s1z7mX4c9O
667782464991965184,434,261,Original tweet,https://t.co/BY8nQAMz0x
667773195014021121,243,61,Original tweet,https://t.co/ZU0i0KJyqD
667766675769573376,476,243,Original tweet,https://t.co/3Bbba7y8Xe
667728196545200128,398,162,Original tweet,https://t.co/LwrCwlWwPB
667724302356258817,517,341,Original tweet,https://t.co/0nIxPTDWAZ
667550904950915073,0,37,Original tweet,https://t.co/uarnTjBeVA
667550882905632768,0,34,Original tweet,https://t.co/r7XzeQZWzb
667549055577362432,6138,2454,Original tweet,https://t.co/i9iSGNn3fx
667546741521195010,355,138,Original tweet,https://t.co/afRtVsoIIb
667544320556335104,917,568,Original tweet,https://t.co/8zcwIoiuqR
667538891197542400,220,72,Original tweet,https://t.co/IQTOMqDUIe
667534815156183040,866,576,Original tweet,https://t.co/CpPxD28IpV
667530908589760512,501,264,Original tweet,https://t.co/xoRWyQTcmy
667524857454854144,1798,1198,Original tweet,https://t.co/seESNzgsdm
667517642048163840,389,203,Original tweet,https://t.co/fh5KflzBR0
667509364010450944,7148,2272,Original tweet,https://t.co/0aDF62KVP7
667502640335572993,563,231,Original tweet,https://t.co/n5Wtb5Hvsl
667495797102141441,565,294,Original tweet,https://t.co/5NhPV8E45i
667491009379606528,559,242,Original tweet,https://t.co/ITxxcc4v9y
667470559035432960,273,102,Original tweet,https://t.co/J4vn2rOYFk
667455448082227200,203,66,Original tweet,https://t.co/uLzRi1drVK
667453023279554560,327,96,Original tweet,https://t.co/6uLCWR9Efa
667443425659232256,833,620,Original tweet,https://t.co/rqO4I3nf2N
667437278097252352,483,257,Original tweet,https://t.co/97HuBrVuOx
667435689202614272,326,89,Original tweet,https://t.co/PQni2sjPsm
667405339315146752,489,234,Original tweet,https://t.co/3Fm9PwLju1
667393430834667520,211,60,Original tweet,https://t.co/A37eGLz5WS
667369227918143488,385,173,Original tweet,https://t.co/LEaviT37v1
667211855547486208,516,258,Original tweet,https://t.co/azEoGqVonH
